2026-07-02 12:06:28.998 | INFO     | main:lifespan:56 - CopyMind Backend starting up (env=development)
2026-07-02 12:06:29.006 | INFO     | main:lifespan:61 - Scheduler started: daily_stats={h}:{m}, weekly_clustering=Mon 4:00
2026-07-02 12:06:58.166 | INFO     | main:lifespan:56 - CopyMind Backend starting up (env=development)
2026-07-02 12:06:58.177 | INFO     | main:lifespan:61 - Scheduler started: daily_stats={h}:{m}, weekly_clustering=Mon 4:00
2026-07-02 12:08:04.491 | INFO     | main:lifespan:56 - CopyMind Backend starting up (env=development)
2026-07-02 12:08:04.498 | INFO     | main:lifespan:61 - Scheduler started: daily_stats={h}:{m}, weekly_clustering=Mon 4:00
2026-07-02 12:08:19.244 | INFO     | app.middleware.request_log:dispatch:24 - GET /api/v1/health -> 200 (0.015s)
2026-07-02 12:08:35.646 | ERROR    | main:internal_error_handler:115 - Internal server error: 'cryptography' package is required for sha256_password or caching_sha2_password auth methods
2026-07-02 12:08:50.302 | ERROR    | main:internal_error_handler:115 - Internal server error: 'cryptography' package is required for sha256_password or caching_sha2_password auth methods
2026-07-02 12:10:47.947 | INFO     | main:lifespan:64 - Scheduler shut down
2026-07-02 12:10:47.948 | INFO     | main:lifespan:65 - CopyMind Backend shutting down
2026-07-02 12:10:47.964 | INFO     | main:lifespan:64 - Scheduler shut down
2026-07-02 12:10:47.964 | INFO     | main:lifespan:65 - CopyMind Backend shutting down
2026-07-02 12:10:59.335 | INFO     | main:lifespan:64 - Scheduler shut down
2026-07-02 12:10:59.336 | INFO     | main:lifespan:65 - CopyMind Backend shutting down
2026-07-02 12:12:50.142 | INFO     | main:lifespan:56 - CopyMind Backend starting up (env=development)
2026-07-02 12:12:50.149 | INFO     | main:lifespan:61 - Scheduler started: daily_stats={h}:{m}, weekly_clustering=Mon 4:00
2026-07-02 12:12:50.149 | INFO     | main:lifespan:56 - CopyMind Backend starting up (env=development)
2026-07-02 12:12:50.159 | INFO     | main:lifespan:61 - Scheduler started: daily_stats={h}:{m}, weekly_clustering=Mon 4:00
2026-07-02 12:13:26.372 | INFO     | app.middleware.request_log:dispatch:24 - GET /api/v1/health -> 200 (0.011s)
2026-07-02 12:13:43.815 | ERROR    | main:internal_error_handler:115 - Internal server error: name 'logger' is not defined
2026-07-02 12:13:59.393 | INFO     | main:lifespan:64 - Scheduler shut down
2026-07-02 12:13:59.395 | INFO     | main:lifespan:65 - CopyMind Backend shutting down
2026-07-02 12:14:02.641 | INFO     | main:lifespan:56 - CopyMind Backend starting up (env=development)
2026-07-02 12:14:02.655 | INFO     | main:lifespan:61 - Scheduler started: daily_stats={h}:{m}, weekly_clustering=Mon 4:00
2026-07-02 12:14:34.828 | INFO     | app.middleware.request_log:dispatch:24 - GET /api/v1/health -> 200 (0.005s)
2026-07-02 12:14:52.841 | WARNING  | app.routers.analyze:_try_save_to_db:66 - DB save skipped (dev mode): 'cryptography' package is required for sha256_password or caching_sha2_password auth methods
2026-07-02 12:14:52.848 | INFO     | app.middleware.request_log:dispatch:24 - POST /api/v1/analyze -> 200 (5.214s)
2026-07-02 12:14:52.853 | ERROR    | main:internal_error_handler:115 - Internal server error: This Session's transaction has been rolled back due to a previous exception during flush. To begin a new transaction with this Session, first issue Session.rollback(). Original exception was: 'cryptography' package is required for sha256_password or caching_sha2_password auth methods (Background on this error at: https://sqlalche.me/e/20/7s2a)
2026-07-02 12:23:47.665 | INFO     | main:lifespan:56 - CopyMind Backend starting up (env=development)
2026-07-02 12:23:47.675 | INFO     | main:lifespan:61 - Scheduler started: daily_stats={h}:{m}, weekly_clustering=Mon 4:00
2026-07-02 12:26:33.853 | WARNING  | app.routers.analyze:_try_save_to_db:66 - DB save skipped (dev mode): 'cryptography' package is required for sha256_password or caching_sha2_password auth methods
2026-07-02 12:26:33.855 | INFO     | app.middleware.request_log:dispatch:24 - POST /api/v1/analyze -> 200 (7.243s)
2026-07-02 12:26:33.858 | ERROR    | main:internal_error_handler:115 - Internal server error: This Session's transaction has been rolled back due to a previous exception during flush. To begin a new transaction with this Session, first issue Session.rollback(). Original exception was: 'cryptography' package is required for sha256_password or caching_sha2_password auth methods (Background on this error at: https://sqlalche.me/e/20/7s2a)
2026-07-02 12:26:35.502 | WARNING  | app.routers.analyze:_try_save_to_db:66 - DB save skipped (dev mode): 'cryptography' package is required for sha256_password or caching_sha2_password auth methods
2026-07-02 12:26:35.504 | INFO     | app.middleware.request_log:dispatch:24 - POST /api/v1/analyze -> 200 (7.097s)
2026-07-02 12:26:35.506 | ERROR    | main:internal_error_handler:115 - Internal server error: This Session's transaction has been rolled back due to a previous exception during flush. To begin a new transaction with this Session, first issue Session.rollback(). Original exception was: 'cryptography' package is required for sha256_password or caching_sha2_password auth methods (Background on this error at: https://sqlalche.me/e/20/7s2a)
2026-07-02 12:26:42.226 | WARNING  | app.routers.analyze:_try_save_to_db:66 - DB save skipped (dev mode): 'cryptography' package is required for sha256_password or caching_sha2_password auth methods
2026-07-02 12:26:42.230 | INFO     | app.middleware.request_log:dispatch:24 - POST /api/v1/analyze -> 200 (8.041s)
2026-07-02 12:26:42.242 | ERROR    | main:internal_error_handler:115 - Internal server error: This Session's transaction has been rolled back due to a previous exception during flush. To begin a new transaction with this Session, first issue Session.rollback(). Original exception was: 'cryptography' package is required for sha256_password or caching_sha2_password auth methods (Background on this error at: https://sqlalche.me/e/20/7s2a)
2026-07-02 12:26:42.789 | WARNING  | app.routers.analyze:_try_save_to_db:66 - DB save skipped (dev mode): 'cryptography' package is required for sha256_password or caching_sha2_password auth methods
2026-07-02 12:26:42.793 | INFO     | app.middleware.request_log:dispatch:24 - POST /api/v1/analyze -> 200 (7.588s)
2026-07-02 12:26:42.796 | ERROR    | main:internal_error_handler:115 - Internal server error: This Session's transaction has been rolled back due to a previous exception during flush. To begin a new transaction with this Session, first issue Session.rollback(). Original exception was: 'cryptography' package is required for sha256_password or caching_sha2_password auth methods (Background on this error at: https://sqlalche.me/e/20/7s2a)
2026-07-02 12:27:43.171 | WARNING  | app.middleware.rate_limit:dispatch:54 - Rate limit exceeded for /api/v1/analyze
2026-07-02 12:27:43.179 | ERROR    | main:internal_error_handler:115 - Internal server error: 429: 请求过于频繁，请稍后再试
2026-07-02 12:27:44.806 | WARNING  | app.routers.analyze:_try_save_to_db:66 - DB save skipped (dev mode): 'cryptography' package is required for sha256_password or caching_sha2_password auth methods
2026-07-02 12:27:44.808 | INFO     | app.middleware.request_log:dispatch:24 - POST /api/v1/analyze -> 200 (6.878s)
2026-07-02 12:27:44.811 | ERROR    | main:internal_error_handler:115 - Internal server error: This Session's transaction has been rolled back due to a previous exception during flush. To begin a new transaction with this Session, first issue Session.rollback(). Original exception was: 'cryptography' package is required for sha256_password or caching_sha2_password auth methods (Background on this error at: https://sqlalche.me/e/20/7s2a)
2026-07-02 12:27:45.288 | WARNING  | app.routers.analyze:_try_save_to_db:66 - DB save skipped (dev mode): 'cryptography' package is required for sha256_password or caching_sha2_password auth methods
2026-07-02 12:27:45.289 | INFO     | app.middleware.request_log:dispatch:24 - POST /api/v1/analyze -> 200 (5.894s)
2026-07-02 12:27:45.292 | ERROR    | main:internal_error_handler:115 - Internal server error: This Session's transaction has been rolled back due to a previous exception during flush. To begin a new transaction with this Session, first issue Session.rollback(). Original exception was: 'cryptography' package is required for sha256_password or caching_sha2_password auth methods (Background on this error at: https://sqlalche.me/e/20/7s2a)
2026-07-02 12:27:47.201 | WARNING  | app.routers.analyze:_try_save_to_db:66 - DB save skipped (dev mode): 'cryptography' package is required for sha256_password or caching_sha2_password auth methods
2026-07-02 12:27:47.202 | INFO     | app.middleware.request_log:dispatch:24 - POST /api/v1/analyze -> 200 (4.764s)
2026-07-02 12:27:47.204 | ERROR    | main:internal_error_handler:115 - Internal server error: This Session's transaction has been rolled back due to a previous exception during flush. To begin a new transaction with this Session, first issue Session.rollback(). Original exception was: 'cryptography' package is required for sha256_password or caching_sha2_password auth methods (Background on this error at: https://sqlalche.me/e/20/7s2a)
2026-07-02 12:27:49.432 | WARNING  | app.routers.analyze:_try_save_to_db:66 - DB save skipped (dev mode): 'cryptography' package is required for sha256_password or caching_sha2_password auth methods
2026-07-02 12:27:49.433 | INFO     | app.middleware.request_log:dispatch:24 - POST /api/v1/analyze -> 200 (5.658s)
2026-07-02 12:27:49.435 | ERROR    | main:internal_error_handler:115 - Internal server error: This Session's transaction has been rolled back due to a previous exception during flush. To begin a new transaction with this Session, first issue Session.rollback(). Original exception was: 'cryptography' package is required for sha256_password or caching_sha2_password auth methods (Background on this error at: https://sqlalche.me/e/20/7s2a)
2026-07-02 12:29:40.983 | INFO     | main:lifespan:64 - Scheduler shut down
2026-07-02 12:29:40.983 | INFO     | main:lifespan:65 - CopyMind Backend shutting down
2026-07-02 12:29:41.002 | INFO     | main:lifespan:64 - Scheduler shut down
2026-07-02 12:29:41.007 | INFO     | main:lifespan:65 - CopyMind Backend shutting down
2026-07-02 12:29:43.645 | INFO     | main:lifespan:56 - CopyMind Backend starting up (env=development)
2026-07-02 12:29:43.654 | INFO     | main:lifespan:61 - Scheduler started: daily_stats={h}:{m}, weekly_clustering=Mon 4:00
2026-07-02 12:29:43.716 | INFO     | main:lifespan:56 - CopyMind Backend starting up (env=development)
2026-07-02 12:29:43.725 | INFO     | main:lifespan:61 - Scheduler started: daily_stats={h}:{m}, weekly_clustering=Mon 4:00
2026-07-02 12:30:18.570 | WARNING  | app.routers.analyze:_try_save_to_db:67 - DB save skipped (dev mode): 'cryptography' package is required for sha256_password or caching_sha2_password auth methods
2026-07-02 12:30:18.575 | INFO     | app.middleware.request_log:dispatch:24 - POST /api/v1/analyze -> 200 (6.559s)
